http://epos-ip.org/WP16/Analogue, "EPOS Analogue Laboratories"
http://epos-ip.org/WP16/Analogue/Main_Setting, "Main Setting"
http://epos-ip.org/WP16/Analogue/Process/Hazard, "Process/Hazard"
http://epos-ip.org/WP16/Analogue/Deformation_Type, "Deformation Type"
http://epos-ip.org/WP16/Analogue/Material, "Material"
http://resource.geosciml.org/classifier/cgi/eventenvironment/tectonic_setting, "tectonically defined setting", "Setting defined by relationships to tectonic plates on or in the Earth."
http://resource.geosciml.org/classifier/cgi/eventenvironment/plate_margin_setting, "plate margin setting", "Tectonic setting at the boundary between two tectonic plates."
http://resource.geosciml.org/classifier/cgi/eventenvironment/active_spreading_center, "active spreading center setting", "Divergent plate margin at which new oceanic crust is being formed"
http://resource.geosciml.org/classifier/cgi/eventenvironment/back_arc_setting, "back arc setting", "Tectonic setting adjacent to a volcanic arc formed above a subduction zone. The back arc setting is on the opposite side of the volcanic arc from the trench at which oceanic crust is consumed in a subduction zone. Back arc setting includes terrane that is affected by plate margin and arc-related processes."
http://resource.geosciml.org/classifier/cgi/eventenvironment/continental_rift_setting, "continental rift setting", "Extended terrane in a zone of continental breakup, may include incipient oceanic crust. Examples include Red Sea, East Africa Rift, Salton Trough"
http://resource.geosciml.org/classifier/cgi/eventenvironment/hot_spot_setting, "hot spot setting", "Setting in a zone of high heat flow from the mantle. Typically identified in intraplate settings, but hot spot may also interact with active plate margins (Iceland...). Includes surface manifestations like volcanic center, but also includes crust and mantle manifestations as well."
http://resource.geosciml.org/classifier/cgi/eventenvironment/intraplate_tectonic_setting, "intraplate tectonic setting", "Tectonically stable setting far from any active plate margins."
http://resource.geosciml.org/classifier/cgi/eventenvironment/passive_continental_margin_setting, "passive continental margin setting", "Boundary of continental crust into oceanic crust of an oceanic basin that is not a subduction zone or transform fault system. Generally is rifted margin formed when ocean basin was initially formed."
http://resource.geosciml.org/classifier/cgi/eventenvironment/active_continental_margin_setting, "active continental margin setting", "Plate margin setting on continental crust."
http://resource.geosciml.org/classifier/cgi/eventenvironment/active_spreading_center, "active spreading center setting", "Divergent plate margin at which new oceanic crust is being formed"
http://resource.geosciml.org/classifier/cgi/eventenvironment/forearc_setting, "forearc setting","Tectonic setting between a subduction-related trench and a volcanic arc"
http://resource.geosciml.org/classifier/cgi/eventenvironment/subduction_zone_setting, "subduction zone setting", "Tectonic setting at which a tectonic plate, usually oceanic, is moving down into the mantle beneath another overriding plate."
http://resource.geosciml.org/classifier/cgi/eventenvironment/transform_plate_boundary_setting, "transform plate boundary setting", "Tectonic setting where new oceanic crust is being or has been formed at a divergent plate boundary. Includes active and inactive spreading centers."
http://resource.geosciml.org/classifier/cgi/eventenvironment/volcanic_arc_setting, "volcanic arc setting", "A generally curvillinear belt of volcanoes above a subduction zone."
http://resource.geosciml.org/classifier/cgi/eventenvironment/plate_spreading_center, "plate spreading center setting", "Tectonic setting where new oceanic crust is being or has been formed at a divergent plate boundary. Includes active and inactive spreading centers."
http://resource.geosciml.org/classifier/cgi/eventenvironment/hillslope_setting, "hillslope setting","Earth surface setting characterized by surface slope angles high enough that gravity alone becomes a significant factor in geomorphic development, as well as base-of-slope areas influenced by hillslope processes. Hillslope activities include creep, sliding, slumping, falling, and other downslope movements caused by slope collapse induced by gravitational influence on earth materials. May be subaerial or subaqueous."
http://resource.geosciml.org/classifier/cgi/eventenvironment/shoreline_settings, "shoreline setting", "Shoreline with significant relief and abundant rock outcrop."
http://resource.geosciml.org/classifier/cgi/eventenvironment/river_plain_system_setting, "river plain system setting", "A drainage channel along which runoff no longer occurs, as on an alluvial fan"
http://resource.geosciml.org/classifier/cgi/eventenvironment/basin_plain_setting, "basin plain setting", "Near flat areas of ocean floor, slope less than 1:1000; generally receive only distal turbidite and pelagic sediments."
http://resource.geosciml.org/classifier/cgi/eventenvironment/collisional_setting, "collisional setting", "Tectonic setting in which two continental crustal plates impact and are sutured together after intervening oceanic crust is entirely consumed at a subduction zone separating the plates. Such collision typically involves major mountain forming events, exemplified by the modern Alpine and Himalayan mountain chains."
http://resource.geosciml.org/classifier/cgi/eventenvironment/foreland_setting, "foreland setting", "The exterior area of an orogenic belt where deformation occurs without significant metamorphism. Generally the foreland is closer to the continental interior than other portions of the orogenic belt are."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/oceanicCrustalSetting,"oceanic-crustal setting","That type of the Earth's crust which underlies the ocean basins. The oceanic crust is 5-10 km thick; it has a density of 2.9 g/cm3, and compressional seismic-wave velocities travelling through it at 4-7.2 km/sec. Setting in crust produced by submarine volcanism at a mid ocean ridge."
http://resource.geosciml.org/classifier/cgi/eventenvironment/upper_continental_crustal_setting, "upper continental crustal setting", "Continental crustal setting dominated by non metamorphosed to low greenschist facies metamorphic rocks, and brittle deformation."
http://resource.geosciml.org/classifier/cgi/eventenvironment/upper_oceanic_crustal_setting, "upper oceanic crustal setting", "Oceanic crustal setting dominated by extrusive rocks, abyssal oceanic sediment, with increasing mafic intrusive rock in lower part."
http://resource.geosciml.org/classifier/cgi/eventenvironment/mantle, "mantle setting", "The zone of the Earth below the crust and above the core, which is divided into the upper mantle and the lower mantle, with a transition zone separating them."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/graben, "graben", "An elongate trough or basin, bounded on both sides by high-angle normal faults that dip toward one another. It is a structual form that may or may not be geomorphologically expressed as a rift valley."
http://resource.geosciml.org/classifier/cgi/eventprocess/deformation, deformation, Movement of rock bodies by displacement on fault or shear zones, or change in shape of a body of Earth material
http://resource.geosciml.org/classifier/cgi/eventprocess/geologic_process, "geologic process", "process that effects the geologic record"
http://resource.geosciml.org/classifier/cgi/eventprocess/magmatic_process, "magmatic process","A process involving melted rock (magma)."
http://resource.geosciml.org/classifier/cgi/eventprocess/sedimentary_process, "sedimentary process", "a phenomenon that changes the distribution or physical properties of sediment at or near the earth's surface"
http://resource.geosciml.org/classifier/cgi/eventprocess/tectonic_process, "tectonic process", "Processes related to the interaction between or deformation of rigid plates forming the crust of the Earth."
http://resource.geosciml.org/classifier/cgi/eventprocess/weathering, weathering, "The process or group of processes by which earth materials exposed to atmospheric agents at or near the Earth's surface are changed in color, texture, composition, firmness, or form, with little or no transport of the loosened or altered material. Processes typically include oxidation, hydration, and leaching of soluble constituents."
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/geologicalHydrological, "geolocical hydrogeological", "Processes that have a geological (geosphere) or hydrological (hydrosphere) nature (or origin)."
b6fd22ab-dca7-4dfa-8812-913453b5695b,"COASTAL PROCESSES","Scientific field of study of the land environment immediately affected by marine processes. Includes variables pertaining to both coastal features and&nbsp;the processes that affect them."
6f47ae88-f28f-43e3-be6a-34f86b15fe19,"FLUVIAL PROCESSES","The physical interaction of flowing water and the natural channels of rivers and streams. Such processes play an essential and conspicuous role in the denudation of land surfaces and the transport of rock detritus from higher to lower levels."
f0bd7eeb-9004-4e40-a649-f6010d8a4303,"TECTONIC PROCESSES","The process of upwelling of magma, plate movement, subduction of crust, folding, faulting, warping, fracturing, earthquakes, and volcanic activity."
http://resource.geosciml.org/classifier/cgi/eventprocess/ductile_flow, "ductile flow","deformation without apparent loss of continuity at the scale of observation."
http://resource.geosciml.org/classifier/cgi/eventprocess/faulting, faulting, "The process of fracturing, frictional slip, and displacement accumulation that produces a fault"
http://resource.geosciml.org/classifier/cgi/eventprocess/folding, folding, "deformation in which planar surfaces become regularly curviplanar surfaces with definable limbs (zones of lower curvature) and hinges (zones of higher curvature)."
http://resource.geosciml.org/classifier/cgi/eventprocess/fracturing, fracturing, "The formation of a surface of failure resulting from stress"
http://resource.geosciml.org/classifier/cgi/eventprocess/shearing, shearing, "A deformation in which contiguous parts of a body are displaced relatively to each other in a direction parallel to a surface. The surface may be a discrete fault, or the deformation may be a penetrative strain and the shear surface is a geometric abstraction."
http://resource.geosciml.org/classifier/cgi/eventprocess/eruption, eruption,"The ejection of volcanic materials (lava, pyroclasts, and volcanic gases) onto the Earth's surface, either from a central vent or from a fissure or group of fissures"
http://resource.geosciml.org/classifier/cgi/eventprocess/intrusion, intrusion,"The process of emplacement of magma in pre-existing rock"
http://resource.geosciml.org/classifier/cgi/eventprocess/deposition, deposition, "Accumulation of material; the constructive process of accumulation of sedimentary particles, chemical precipitation of mineral matter from solution, or the accumulation of organic material on the death of plants and animals."
http://resource.geosciml.org/classifier/cgi/eventprocess/erosion, erosion, "The process of disaggregation of rock and displacement of the resultant particles (sediment) usually by the agents of currents such as, wind, water, or ice by downward or down-slope movement in response to gravity or by living organisms (in the case of bioerosion)."
http://resource.geosciml.org/classifier/cgi/eventprocess/accretion, accretion, "The addition of material to a continent. Typically involves convergent or transform motion."
http://resource.geosciml.org/classifier/cgi/eventprocess/continental_breakup, "continental breakup", "Fragmentation of a continental plate into two or more smaller plates; may involve rifting or strike slip faulting."
http://resource.geosciml.org/classifier/cgi/eventprocess/continental_collision, "continental collision", "The amalgamation of two continental plates or blocks along a convergent margin."
http://resource.geosciml.org/classifier/cgi/eventprocess/obduction, obduction,"The overthrusting of continental crust by oceanic crust or mantle rocks at a convergent plate boundary."
http://resource.geosciml.org/classifier/cgi/eventprocess/orogenic_process, "orogenic process", "mountain building process."
http://resource.geosciml.org/classifier/cgi/eventprocess/spreading, spreading, "A process whereby new oceanic crust is formed by upwelling of magma at the center of mid-ocean ridges and by a moving-away of the new material from the site of upwelling at rates of one to ten centimeters per year."
http://resource.geosciml.org/classifier/cgi/eventprocess/subduction, subduction, "The process of one lithospheric plate descending beneath another"
http://resource.geosciml.org/classifier/cgi/eventprocess/transform_faulting, "transform faulting", "	A strike-slip fault that links two other faults or two other plate boundaries (e.g. two segments of a mid-ocean ridge). Transform faults often exhibit characteristics that distinguish them from transcurrent faults: (1) For transform faults formed at the same time as the faults they link, slip on the transform fault has equal magnitude at all points along the transform; slip magnitude on the transform fault can exceed the length of the transform fault, and slip does not decrease to zero at the fault termini. (2) For transform faults linking two similar features, e.g. if two mid-ocean ridge segments linked by a transform have equal spreading rates, then the length of the transform does not change as slip accrues on it."
http://resource.geosciml.org/classifier/cgi/environmental-impact/landslide, landslide, "Downslope displacement of material due to excavation related to resource extraction. Includes slope failure on waste or tailings heaps."
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/earthquake, earthquake, Earthquake hazards involve the propagation of elastic waves at or near the surface after the release of tectonic stress or other natural sources, such as volcanic explosions or meteorite impacts.
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/tsunami, tsunami, "Long wave disruption in a large water body reaching emerged land."
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/snowAvalanche, "snow avalanche", "A snow mass with typically a volume greater than 100 m3 and a minimum length of 50 meters that slides rapidly downhill."
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/volcanic, volcanic, "An opening, or rupture, in the Earth's crust that allows hot magma, ash and gases to escape."
http://inspire.ec.europa.eu/codelist/NaturalHazardCategoryValue/flood, flood, "Processes of inundation of usually dry (emerged) land, or temporary covering by water of land not normally covered by water."
http://epos/WP16Vocabulary/GeologicStructure/LavaFlow,"lava flow","A lava flow is a moving outpouring of lava created during a non-explosive effusive eruption."
http://epos/WP16Vocabulary/GeologicStructure/Lahar,"lahar","Catastrophic mudflow on the flank of a volcano (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Cone,"cone","Volcanic cone, edifice of a central volcano"
http://epos/WP16Vocabulary/GeologicStructure/Neck,"volcanic neck", "A column of igneous rock formed by congelation of lava in the conduit of a volcano and later exposed by the removal of surrounding rocks."
http://epos/WP16Vocabulary/GeologicStructure/Trench,"trench","Type of excavation or depression in the ground that is generally deeper than it is wide and narrow compared with its length. Trenches may be created as a result of geomorphologic (as erosion by running water or by glaciers) or tectonic (movement of tectonic plates forming rift valleys or oceanic trenches) processes. Oceanic trenches are usually relatively deep (e.g. 10 km), linear and narrow, and are formed by plate subduction in convergent boundaries."
http://epos/WP16Vocabulary/GeologicStructure/Resourgence,"resurgence","Later injection of magma into the chamber can cause doming of the caldera floor to create a resurgent caldera (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Boudin,"boudin","Minor structural feature in which competent strata resemble a series of sausages (*1); as deformation proceeds, complete separation between boudins may take place (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Mullion,"mullion","A rodding structure composed of elements tens of centimetres wide. This structure is thought to be a type of lineation associated with folding at a competent-incompetent interface (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Megathrust,"megathrust","The term megathrust is used to refer to an extremely large thrust fault, typically formed at the plate interface along a subduction zone. "
http://epos/WP16Vocabulary/GeologicStructure/ThrustSheet,"thrust sheet/nappe/overthrust", "Nappe: from the French nappe, meaning ‘cover’, a thrusted mass or folded body in which the fold limbs and axes are approximately horizontal (*1). Overthrust: a thrust fault in which the horizontal displacement is large and the hanging wall is the relatively active element and is thrust over the footwall (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Diapir,"diapir","Upward-directed, dome-like intrusion of a lighter rick mass, e.g. salt or granite, into a denser cover. The process is termed diapirism (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Sill,"sill","A tabular igneous intrusion having concordant surfaces of contact (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Dike,"dike","A dike (or dyke): sheet of rock formed in a fracture in a pre-existing rock body. Dikes can be either magmatic or sedimentary in origin. Magmatic dikes form when magma intrudes into a crack then crystallizes as a sheet intrusion, either cutting across layers of rock or through an unlayered mass of rock. Clastic dikes are formed when sediment fills a pre-existing crack (Essentials of Geology, 3rd Ed, Stephen Marshak)."
http://epos/WP16Vocabulary/GeologicStructure/Dike/ConeSheet,"cone sheet","A dike shaped in cross-section like a cone dipping inwards to a central pluton. This charachteristic form is usually explained by reference to a stress field, shaped like an inverted umbrella, generated by the parent pluton at depth."
http://epos/WP16Vocabulary/GeologicStructure/Dike/RingDike,"ring dike","Steeply dipping dike of arcuate outcrop formed by the uprise of magma along a steep conical or cylindrical fracture which bounds central collapsed blocks (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Dike/RadialDike,"radial dike","Vertical to sub-vertical dyke radiating from a central volcanic plug (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Pluton,"pluton","General term applied to a body of intrusive igneous rock, irrespective for its shape, size or composition (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Fracture,"fracture","General term applied to any break in a material, but commonly applied to more or less clean breaks in rocks or minerals that are not due to cleavage or foliation (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Crack,"crack","Generic term indicating a fracture or any separation in a geologic formation, such as a joint or a fault that divides the rock into two or more pieces. "
http://epos/WP16Vocabulary/GeologicStructure/Joint,"joint","A discrete brittle fracture in a rock along which there has been little or no movement parallel to the plane of fracture, but slight movement normal to it. Fracture may be caused by shrinkage, due to cooling or desiccation, or to the unloading of super-incumbent rocks by erosion or tectonism. A group of joints of common origin constitutes a ‘joint set’ and joints are usually planar and sub-parallel in the orientation. A ‘joint system’ comprises two or more joint sets (*1)."
http://epos/WP16Vocabulary/GeologicStructure/ShatterCone,"shatter cone","Striated, conical, nested fracture pattern that has apparently occurred in response to shock waves of the magnitude (*1)."
http://epos/WP16Vocabulary/GeologicStructure/VolcanicCrater,"volcanic crater","General term for a circular, funnel-shaped depression, up to 1 km in diameter, produced by volcanic processes by which gases, tephra and lava are or have been ejected (*1). "
http://epos/WP16Vocabulary/GeologicStructure/ImpactCrater,"impact crater","Near-circular depression produced by the impact of an extra-terrestrial body (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Vein,"vein","A tabular deposit of minerals occupying a fracture, in which particles may grow away from the walls toward the middle (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Fissure,"fissure","Term generally indicating a deep, narrow crack in rock or the earth. In case of fissure volcano: a linear fracture on the Earth’s surface through which lavas, pyroclastics, and gas are erupted and effused (*1)."
http://epos/WP16Vocabulary/GeologicStructure/Flexure,"flexure/buckle","1. The lateral deflection from a datum line of a planar feature as it is shortened. 2. The form of a monocline, or a gentle fold whose inter-limb angles are 120°-180° (*1) / Buckle: The sideways deflection from a median line of competent layers in a less competent matrix, due to mechanical ‘buckling’ instabilities set up by layer-parallel shortening. A regular dominant wavelength is created as a function of layer thickness, layer rheology and contrasts in competence (*1)."
http://epos/WP16Vocabulary/GeologicStructure/CoreComplex,"core complex","(*1) are exposed below low-angle detachment faults (*1) that show ductile deformation on the lower side (footwall) with amphibolite- to greenschist-facies syndeformational metamorphism, and ductile-brittle to brittle deformation on the upper-side (hanging-wall) with tilted geometries. "
http://epos/WP16Vocabulary/GeologicStructure/FoldThrustBelt,"fold-and-thrust belt","A linear or arcuate belt in which compression has produced a combination of thrusts and folds. The dip of the thrust planes decreases with depth, and the belt normally lies against the foreland of an orogenic belt. (*1)."
http://epos/WP16Vocabulary/GeologicStructure/KinkBand,"kink band","An asymmetric, linear zone of deformation characterized by short fold limbs and very small hinge zones. Kink bands commonly occur as conjugate sets (*1). "
http://epos/WP16Vocabulary/GeologicStructure/ShearBand,"shear band","A shear band (or, more generally, a 'strain localization') is a narrow zone of intense shearing strain, usually of plastic nature, developing during severe deformation of ductile materials. "
5d9d1d85-b402-4f84-ab5c-03a49fc68c25,"caldera", "A roughly circular topographic and structural depression, varying in diameter from about 1 to 100 km. Caldera formed by the foundering and collapse of a magma chamber roof into its underlying magma body. Caldera collapse is commonly preceded or accompanied by rapid explosive evacuation of magma from the chamber in the form of surface pyroclastic flows (*1)."
7c394040-91f1-4438-a50a-3118254f5989,"cinder cone","(or ash cone, scoria cone). Volcanic cone built of pyroclastic material (cinder and scoria ejecta) usually of basaltic or andesitic composition, dominated by fragments 2-64 mm diameter. These air-fall deposits build a straight-sided cone with slopes of about 30° (the angle of repose). Complex varieties may occur, including breached or gaping, and cone-within-cone types  (*1)."
ea580c65-2f66-4745-bbb6-dde61279ecfa,"geyser","A small opening on the Earth’s surface which periodically spouts a fountain of boiling water into the air (*1). "
524f075d-e875-4c9d-9e46-91f2a0b12168,"graben","A downthrown, linear, crustal block, bordered lengthways by normal faults. It is a structural feature, which may be of considerable length, caused by the relative lowering of a block between two faults or fault zones. The faults are commonly high-angle, normal faults which are parallel in their strike direction. Half-graben are bounded on only one side by one or more faults and are associated mainly with tilt-block tectonics. Graben with a regional extent and topographic expression can also be called rift valleys (*1)."
bf3fbdaa-cefb-4a54-8a4e-ee0a862795fb,"horst","Up-thrown block lying between two steep-angled fault blocks (*1)."
33a0cd6c-a8e4-4187-a2f3-7eb4bf62808d,"lava dome","A mound of viscous lava, usually rhyolite in composition, which as grown and build up over a vent. Domes can grow by repeated injection of magma into the dome body (*1)."
dc18db4d-2184-453e-ba0a-86c83a9bede0,"lava plain","A lava field, also called a lava plain or lava bed, is a large expanse of nearly flat-lying lava flows. Such features are generally composed of highly fluid basalt lava, and can extend for tens or even hundreds of miles across the underlying terrain."
c1f717e9-da1a-4e85-ba2b-01986d53674d,"maar","Crater, often occupied by a shallow lake, produced by an explosive volcanic eruption. Normally it is surrounded by a low rampart or ring of ejected material. Typically, maars are formed by the explosive interaction of volcanic magma with groundwater. The ejected material is a mixture of country rock and highly fragmented ash (*1)."
c34ea556-10bd-4665-9f22-68b5d05c9aea,"mountains","A natural elevation of the earth's surface rising more or less abruptly to a summit, and attaining an altitude greater than that of a hill, usually greater than 610 meters "
0baf564f-f942-4aeb-9b75-30b838f28f3f,"plateau","A plateau is an area of highland usually consisting of relatively flat terrain that is raised significantly above the surrounding area, often with one or more sides with steep slopes. Plateaus can be formed by a number of processes, including upwelling of volcanic magma, extrusion of lava, and erosion by water and glaciers. Plateaus are classified according to their surrounding environment as intermontane, Piedmont, or continental."
ca091be1-4762-49ec-859b-a1a2fcb8e038,"ridge","(mid-oceanic ridge, oceanic ridge) a long, linear, elevated, volcanic structure often lying along the middle of the ocean floor (*1)"
0bd4d492-4911-4a6a-afaa-34899a80294b,"rift valley","An elongated trough, of regional extent, bounded by two or more faults. Many rifts on land are associated with alkaline volcanicity. The rift valleys developed along the axis of slow spreading oceanic ridges are known as the median valley (*1).  "
a355aafc-f0ce-4774-afc3-82b41df5f022,"tuya"
cefe2205-809c-4386-915e-a8737ae8e68e,"volcano","A volcano is a rupture in the crust of a planetary-mass object, such as Earth, that allows hot lava, volcanic ash, and gases to escape from a magma chamber below the surface."
9c207e15-9947-4849-bdf4-c1893a7f800a,"rifting","The process in which continental crust is extended and thinned, forming extensional sedimentary basins and/or mafic dyke-swarms. Rifts commence as intracratonic, down-thrown blocks dominated by normal or oblique-extensional (transtensional) faults."
ca464924-4299-46ea-8cae-fd9bad49c1b1,"isostatic uplift","Refers to the the gradual uplift following rapid erosional removal of material from a mountain range. The land rises as a result of the removal of the weight. Another example of isostatic uplift is post-glacial rebound following the melting of continental glaciers and ice sheets."
4bc109b5-6788-4f64-8238-745bab3910dd,"tectonic uplift","A geological process most often caused by plate tectonics which increases elevation"
http://resource.geosciml.org/classifier/cgi/eventprocess/debris_flow_deposition, "debris flow deposition", "Laminar high-concentration, generally cohesionless deposition process. Flow types included liquefied flow, fluidized flow, grain flow, traction carpet or modified grain flow"
http://resource.geosciml.org/classifier/cgi/eventprocess/mass_wasting_deposition, "mass wasting deposition", "A general term for the dislodgement and downslope transport of soil and rock material under the direct application of gravitational body stresses. In contrast to other erosion processes, the debris removed by mass wasting is not carried within, on, or under another medium. The mass properties of the material being transported depend on the interaction of the soil and rock particles and on the moisture content. Mass wasting includes slow displacements, such as creep and solifluction, and rapid movements such as rockfalls, rockslides, and cohesive debris flows (Jackson, 1997, p. 392). Includes both subaerial mass-wasting processes and subaqueous mass-wasting processes."
http://resource.geosciml.org/classifier/cgi/eventprocess/rifting, rifting, "Extension of the crust to form one or more long, narrow graben of regional extent."
http://resource.geosciml.org/classifier/cgi/faulttype/oblique_slip_fault, "oblique slip fault", "Fault with slip vector that has ratio of strike-parallel to dip-parallel displacement between 10 to 1 and 1 to 10 at at least one location along the mapped trace of the fault."
http://resource.geosciml.org/classifier/cgi/faulttype/reverse_fault, "reverse fault", "Fault with dip-parallel displacement component of slip vector more than 10 times the strike-parallel component of the slip vector at at least one location along the mapped trace of the fault, and the fault dips consistently in the same direction with the hanging wall displaced up relative to the footwall over at least half the mapped trace of the fault."
http://resource.geosciml.org/classifier/cgi/faulttype/scissor_fault, "scissor fault", "A fault on which there is increasing offset or separation along the strike from an initial point of no offset, with the opposite sense of offset in the opposite direction."
http://resource.geosciml.org/classifier/cgi/faulttype/detachment_fault, "detachment fault", "A regional-scale, large displacement, low-angle normal fault."
http://resource.geosciml.org/classifier/cgi/faulttype/normal_fault, "normal fault", "Fault with dip-parallel displacement component of slip vector more than 10 times the strike-parallel component of the slip vector over more than half recognized extent of the fault, and for which the fault dips consistently in the same direction, and for which the hanging wall has been displaced down relative to the footwall."
http://resource.geosciml.org/classifier/cgi/faulttype/thrust_fault, "thrust fault","Fault that dips less than 45 degrees over more than half of the recognized extent of the fault, with a hanging wall displaced from a structurally deeper position relative to footwall rocks."
http://resource.geosciml.org/classifier/cgi/faulttype/wrench_fault, "wrench fault", "A strike slip fault in which the fault plane dips at least 45 degrees over more than half of the recognized extent of the fault."
http://inspire.ec.europa.eu/codelist/FoldProfileTypeValue/anticline, anticline, "A fold, general convex upward, whose core contains the stratigraphically older rocks."
http://inspire.ec.europa.eu/codelist/FoldProfileTypeValue/antiform, antiform, "Any convex-upward, concave downward fold."
http://inspire.ec.europa.eu/codelist/FoldProfileTypeValue/syncline, syncline, "A fold of which the core contains the stratigraphically younger rocks; it is generally concave upward."
http://inspire.ec.europa.eu/codelist/FoldProfileTypeValue/synform, synform, "Any fold whose limbs close at the bottom."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/alluvialFluvial,"alluvial and fluvial features", "Geomorphologic landscapes and landforms dominantly related to concentrated water flow (channel flow)."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/baseSlope, "base slope", "A geomorphologic component of hills consisting of the concave to linear slope (perpendicular to the contour) which, regardless of the lateral shape, is an area that forms an apron or wedge at the bottom of a hillside dominated by colluvial and slope wash processes and sediments"
